symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
INFY,2016-11-17 00:00:00+00:00,14.1,14.19,14.04,14.12,5170068,6.1398914763,6.179082273,6.1137642786,6.1486005423,10340136,0.0,1.0
INFY,2016-11-18 00:00:00+00:00,13.89,14.2,13.865,14.04,9913438,6.0484462841,6.183436806,6.0375599517,6.1137642786,19826876,0.0,1.0
INFY,2016-11-21 00:00:00+00:00,14.0,14.01,13.74,13.89,5760578,6.0963461467,6.1007006797,5.9831282897,6.0484462841,11521156,0.0,1.0
INFY,2016-11-22 00:00:00+00:00,14.06,14.13,13.86,13.92,7518717,6.1224733445,6.1529550752,6.0353826853,6.061509883,15037434,0.0,1.0
INFY,2016-11-23 00:00:00+00:00,14.13,14.18,13.91,13.94,5558180,6.1529550752,6.17472774,6.0571553501,6.070218949,11116360,0.0,1.0
INFY,2016-11-25 00:00:00+00:00,14.53,14.69,14.47,14.58,3852764,6.3271363937,6.3968089211,6.3010091959,6.3489090585,7705528,0.0,1.0
INFY,2016-11-28 00:00:00+00:00,14.56,14.8,14.54,14.8,6962335,6.3401999926,6.4447087837,6.3314909267,6.4447087837,13924670,0.0,1.0
INFY,2016-11-29 00:00:00+00:00,14.5,14.57,14.43,14.55,3217035,6.3140727948,6.3445545256,6.2835910641,6.3358454596,6434070,0.0,1.0
INFY,2016-11-30 00:00:00+00:00,14.48,14.715,14.47,14.59,5780023,6.3053637289,6.4076952535,6.3010091959,6.3532635915,11560046,0.0,1.0
INFY,2016-12-01 00:00:00+00:00,14.31,14.58,14.28,14.57,6269557,6.2313366685,6.3489090585,6.2182730697,6.3445545256,12539114,0.0,1.0
INFY,2016-12-02 00:00:00+00:00,14.31,14.37,14.16,14.26,3703889,6.2313366685,6.2574638663,6.1660186741,6.2095640037,7407778,0.0,1.0
INFY,2016-12-05 00:00:00+00:00,14.34,14.53,14.335,14.36,4467338,6.2444002674,6.3271363937,6.242223001,6.2531093334,8934676,0.0,1.0
INFY,2016-12-06 00:00:00+00:00,14.47,14.49,14.355,14.49,2988324,6.3010091959,6.3097182619,6.2509320669,6.3097182619,5976648,0.0,1.0
INFY,2016-12-07 00:00:00+00:00,14.79,14.85,14.51,14.531,4976420,6.4403542507,6.4664814485,6.3184273278,6.327571847,9952840,0.0,1.0
INFY,2016-12-08 00:00:00+00:00,14.78,14.91,14.71,14.88,3984448,6.4359997178,6.4926086463,6.405517987,6.4795450474,7968896,0.0,1.0
INFY,2016-12-09 00:00:00+00:00,14.74,14.9,14.72,14.84,5584798,6.4185815859,6.4882541133,6.40987252,6.4621269155,11169596,0.0,1.0
INFY,2016-12-12 00:00:00+00:00,14.7,14.73,14.54,14.68,2541474,6.4011634541,6.414227053,6.3314909267,6.3924543881,5082948,0.0,1.0
INFY,2016-12-13 00:00:00+00:00,14.97,15.04,14.77,14.77,4227587,6.518735844,6.5492175748,6.4316451848,6.4316451848,8455174,0.0,1.0
INFY,2016-12-14 00:00:00+00:00,14.84,15.01,14.81,14.97,3101984,6.4621269155,6.5361539759,6.4490633166,6.518735844,6203968,0.0,1.0
INFY,2016-12-15 00:00:00+00:00,14.88,15.005,14.82,14.84,3142788,6.4795450474,6.5339767094,6.4534178496,6.4621269155,6285576,0.0,1.0
INFY,2016-12-16 00:00:00+00:00,14.9,15.075,14.8,14.99,5083408,6.4882541133,6.5644584401,6.4447087837,6.52744491,10166816,0.0,1.0
INFY,2016-12-19 00:00:00+00:00,14.87,14.97,14.84,14.92,2053239,6.4751905144,6.518735844,6.4621269155,6.4969631792,4106478,0.0,1.0
INFY,2016-12-20 00:00:00+00:00,14.93,14.95,14.86,14.908,3204649,6.5013177122,6.5100267781,6.4708359815,6.4917377397,6409298,0.0,1.0
INFY,2016-12-21 00:00:00+00:00,14.97,14.97,14.84,14.9,2475881,6.518735844,6.518735844,6.4621269155,6.4882541133,4951762,0.0,1.0
INFY,2016-12-22 00:00:00+00:00,14.8,14.85,14.58,14.72,2910659,6.4447087837,6.4664814485,6.3489090585,6.40987252,5821318,0.0,1.0
INFY,2016-12-23 00:00:00+00:00,14.75,14.86,14.71,14.81,1867198,6.4229361189,6.4708359815,6.405517987,6.4490633166,3734396,0.0,1.0
INFY,2016-12-27 00:00:00+00:00,14.81,14.87,14.78,14.79,1147480,6.4490633166,6.4751905144,6.4359997178,6.4403542507,2294960,0.0,1.0
INFY,2016-12-28 00:00:00+00:00,14.73,14.83,14.71,14.82,2659749,6.414227053,6.4577723826,6.405517987,6.4534178496,5319498,0.0,1.0
INFY,2016-12-29 00:00:00+00:00,14.74,14.81,14.67,14.72,1690882,6.4185815859,6.4490633166,6.3880998552,6.40987252,3381764,0.0,1.0
INFY,2016-12-30 00:00:00+00:00,14.83,14.925,14.79,14.82,3544165,6.4577723826,6.4991404457,6.4403542507,6.4534178496,7088330,0.0,1.0
INFY,2017-01-03 00:00:00+00:00,14.74,14.82,14.63,14.78,3863626,6.4185815859,6.4534178496,6.3706817233,6.4359997178,7727252,0.0,1.0
INFY,2017-01-04 00:00:00+00:00,15.13,15.22,14.85,14.85,6046090,6.5884083714,6.6275991681,6.4664814485,6.4664814485,12092180,0.0,1.0
INFY,2017-01-05 00:00:00+00:00,15.02,15.11,14.95,15.05,5963749,6.5405085088,6.5796993055,6.5100267781,6.5535721077,11927498,0.0,1.0
INFY,2017-01-06 00:00:00+00:00,14.82,14.86,14.46,14.71,13552112,6.4534178496,6.4708359815,6.296654663,6.405517987,27104224,0.0,1.0
INFY,2017-01-09 00:00:00+00:00,14.96,15.04,14.68,14.71,9561854,6.5143813111,6.5492175748,6.3924543881,6.405517987,19123708,0.0,1.0
INFY,2017-01-10 00:00:00+00:00,14.78,14.96,14.77,14.81,11029264,6.4359997178,6.5143813111,6.4316451848,6.4490633166,22058528,0.0,1.0
INFY,2017-01-11 00:00:00+00:00,15.19,15.22,14.78,14.8,12583987,6.6145355692,6.6275991681,6.4359997178,6.4447087837,25167974,0.0,1.0
INFY,2017-01-12 00:00:00+00:00,15.25,15.38,15.09,15.3,6429263,6.640662767,6.6972716955,6.5709902396,6.6624354318,12858526,0.0,1.0
INFY,2017-01-13 00:00:00+00:00,14.5,14.86,14.2,14.77,18234473,6.3140727948,6.4708359815,6.183436806,6.4316451848,36468946,0.0,1.0
INFY,2017-01-17 00:00:00+00:00,14.49,14.53,14.39,14.44,6712961,6.3097182619,6.3271363937,6.2661729322,6.2879455971,13425922,0.0,1.0
INFY,2017-01-18 00:00:00+00:00,14.44,14.53,14.39,14.5,7429568,6.2879455971,6.3271363937,6.2661729322,6.3140727948,14859136,0.0,1.0
