symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TCS,2016-11-17 00:00:00+00:00,5.93,6.14,5.915,5.93,918248,5.5792112676,5.7767887324,5.5650985915,5.5792112676,918248,0.0,1.0
TCS,2016-11-18 00:00:00+00:00,5.87,6.0,5.83,5.98,324879,5.5227605634,5.6450704225,5.4851267606,5.6262535211,324879,0.0,1.0
TCS,2016-11-21 00:00:00+00:00,6.02,6.119,5.87,5.94,417373,5.6638873239,5.7570309859,5.5227605634,5.5886197183,417373,0.0,1.0
TCS,2016-11-22 00:00:00+00:00,5.9,6.1,5.8327,6.1,350153,5.5509859155,5.7391549296,5.4876670423,5.7391549296,350153,0.0,1.0
TCS,2016-11-23 00:00:00+00:00,6.01,6.09,5.93,5.93,330494,5.6544788732,5.7297464789,5.5792112676,5.5792112676,330494,0.0,1.0
TCS,2016-11-25 00:00:00+00:00,5.94,6.058,5.9001,6.01,119103,5.5886197183,5.6996394366,5.55108,5.6544788732,119103,0.0,1.0
TCS,2016-11-28 00:00:00+00:00,5.77,6.04,5.7,6.04,403918,5.4286760563,5.6827042254,5.3628169014,5.6827042254,403918,0.0,1.0
TCS,2016-11-29 00:00:00+00:00,5.99,6.06,5.8,5.86,554713,5.6356619718,5.7015211268,5.4569014085,5.5133521127,554713,0.0,1.0
TCS,2016-11-30 00:00:00+00:00,5.75,6.08,5.7,6.0,355445,5.4098591549,5.7203380282,5.3628169014,5.6450704225,355445,0.0,1.0
TCS,2016-12-01 00:00:00+00:00,5.81,5.9,5.68,5.79,256092,5.4663098592,5.5509859155,5.344,5.4474929577,256092,0.0,1.0
TCS,2016-12-02 00:00:00+00:00,5.9,6.0,5.75,5.82,247140,5.5509859155,5.6450704225,5.4098591549,5.4757183099,247140,0.0,1.0
TCS,2016-12-05 00:00:00+00:00,6.03,6.09,5.94,5.94,385736,5.6732957746,5.7297464789,5.5886197183,5.5886197183,385736,0.0,1.0
TCS,2016-12-06 00:00:00+00:00,6.23,6.27,5.94,6.0,354022,5.8614647887,5.8990985915,5.5886197183,5.6450704225,354022,0.0,1.0
TCS,2016-12-07 00:00:00+00:00,6.79,6.92,6.3,6.35,492703,6.3883380282,6.5106478873,5.9273239437,5.9743661972,492703,0.0,1.0
TCS,2016-12-08 00:00:00+00:00,7.51,7.54,6.7,6.84,671185,7.0657464789,7.093971831,6.3036619718,6.4353802817,671185,0.0,1.0
TCS,2016-12-09 00:00:00+00:00,8.07,8.34,7.51,7.51,1426399,7.5926197183,7.8466478873,7.0657464789,7.0657464789,1426399,0.0,1.0
TCS,2016-12-12 00:00:00+00:00,7.48,8.2499,7.45,8.13,773712,7.0375211268,7.7618777465,7.0092957746,7.6490704225,773712,0.0,1.0
TCS,2016-12-13 00:00:00+00:00,7.5,7.66,7.2601,7.6,464269,7.0563380282,7.2068732394,6.8306292958,7.1504225352,464269,0.0,1.0
TCS,2016-12-14 00:00:00+00:00,7.17,7.54,7.12,7.52,398023,6.7458591549,7.093971831,6.6988169014,7.0751549296,398023,0.0,1.0
TCS,2016-12-15 00:00:00+00:00,6.99,7.3816,6.805,7.13,558062,6.5765070423,6.9449419718,6.4024507042,6.7082253521,558062,0.0,1.0
TCS,2016-12-16 00:00:00+00:00,7.12,7.33,7.01,7.05,521595,6.6988169014,6.8963943662,6.5953239437,6.6329577465,521595,0.0,1.0
TCS,2016-12-19 00:00:00+00:00,6.94,7.19,6.8332,6.96,364702,6.5294647887,6.7646760563,6.4289825352,6.5482816901,364702,0.0,1.0
TCS,2016-12-20 00:00:00+00:00,7.15,7.19,6.75,6.85,365864,6.7270422535,6.7646760563,6.3507042254,6.4447887324,365864,0.0,1.0
TCS,2016-12-21 00:00:00+00:00,7.09,7.19,7.02,7.18,208331,6.6705915493,6.7646760563,6.6047323944,6.7552676056,208331,0.0,1.0
TCS,2016-12-22 00:00:00+00:00,6.68,7.14,6.5,7.1,363824,6.2848450704,6.7176338028,6.1154929577,6.68,363824,0.0,1.0
TCS,2016-12-23 00:00:00+00:00,6.54,6.79,6.44,6.66,266734,6.1531267606,6.3883380282,6.0590422535,6.266028169,266734,0.0,1.0
TCS,2016-12-27 00:00:00+00:00,6.63,6.65,6.38,6.54,275286,6.2378028169,6.2566197183,6.0025915493,6.1531267606,275286,0.0,1.0
TCS,2016-12-28 00:00:00+00:00,6.45,6.7198,6.39,6.69,190684,6.0684507042,6.3222907042,6.012,6.2942535211,190684,0.0,1.0
TCS,2016-12-29 00:00:00+00:00,6.53,6.62,6.41,6.45,221305,6.1437183099,6.2283943662,6.0308169014,6.0684507042,221305,0.0,1.0
TCS,2016-12-30 00:00:00+00:00,6.35,6.55,6.22,6.53,246060,5.9743661972,6.1625352113,5.852056338,6.1437183099,246060,0.0,1.0
TCS,2017-01-03 00:00:00+00:00,6.49,6.5967,6.3,6.36,272232,6.106084507,6.2064726761,5.9273239437,5.9837746479,272232,0.0,1.0
TCS,2017-01-04 00:00:00+00:00,6.69,6.74,6.5,6.51,193188,6.2942535211,6.3412957746,6.1154929577,6.1249014085,193188,0.0,1.0
TCS,2017-01-05 00:00:00+00:00,6.29,6.6,6.22,6.6,287987,5.917915493,6.2095774648,5.852056338,6.2095774648,287987,0.0,1.0
TCS,2017-01-06 00:00:00+00:00,5.83,6.29,5.82,6.29,548585,5.4851267606,5.917915493,5.4757183099,5.917915493,548585,0.0,1.0
TCS,2017-01-09 00:00:00+00:00,5.73,5.89,5.66,5.85,262020,5.3910422535,5.5415774648,5.3251830986,5.503943662,262020,0.0,1.0
TCS,2017-01-10 00:00:00+00:00,5.88,6.03,5.8,5.8,249894,5.5321690141,5.6732957746,5.4569014085,5.4569014085,249894,0.0,1.0
TCS,2017-01-11 00:00:00+00:00,5.76,5.91,5.66,5.91,179765,5.4192676056,5.5603943662,5.3251830986,5.5603943662,179765,0.0,1.0
TCS,2017-01-12 00:00:00+00:00,5.65,5.78,5.5,5.78,294931,5.3157746479,5.438084507,5.1746478873,5.438084507,294931,0.0,1.0
TCS,2017-01-13 00:00:00+00:00,5.59,5.76,5.55,5.66,135071,5.2593239437,5.4192676056,5.2216901408,5.3251830986,135071,0.0,1.0
TCS,2017-01-17 00:00:00+00:00,5.18,5.42,5.05,5.4,705114,4.8735774648,5.0993802817,4.7512676056,5.0805633803,705114,0.0,1.0
TCS,2017-01-18 00:00:00+00:00,5.17,5.18,5.0,5.12,341072,4.8641690141,4.8735774648,4.7042253521,4.8171267606,341072,0.0,1.0
TCS,2017-01-19 00:00:00+00:00,5.09,5.15,5.02,5.15,386435,4.7889014085,4.8453521127,4.7230422535,4.8453521127,386435,0.0,1.0
TCS,2017-01-20 00:00:00+00:00,5.09,5.18,5.04,5.15,229763,4.7889014085,4.8735774648,4.7418591549,4.8453521127,229763,0.0,1.0
TCS,2017-01-23 00:00:00+00:00,5.08,5.125,4.96,5.09,202090,4.7794929577,4.8218309859,4.6665915493,4.7889014085,202090,0.0,1.0
